scientific_name	genus	tribe	subfamily	family	superfamily	ITIS_id	hairy	spiny	leafroll	silktent	unpalatable	aposematic	social	aggregate 	iNat_taxon_link	notes	Citations for information on species
Dolba hyloeus	Dolba	Sphingini	Sphinginae	Sphingidae	Bombycoidea	936043	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143441-Dolba-hyloeus		
Lapara bombycoides	Lapara	Sphingini	Sphinginae	Sphingidae	Bombycoidea	936080	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/120033-Lapara-bombycoides		
Lapara coniferarum	Lapara	Sphingini	Sphinginae	Sphingidae	Bombycoidea	936081	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143442-Lapara-coniferarum		
Manduca rustica	Manduca	Sphingini	Sphinginae	Sphingidae	Bombycoidea	936099	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/126568-Manduca-rustica		
Manduca sexta	Manduca	Sphingini	Sphinginae	Sphingidae	Bombycoidea	936100	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/61505-Manduca-sexta		
Paratrea plebeja	Paratrea	Sphingini	Sphinginae	Sphingidae	Bombycoidea	936109	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/227111-Paratrea-plebeja		
Sphinx chersis	Sphinx	Sphingini	Sphinginae	Sphingidae	Bombycoidea	936125	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/127169-Sphinx-chersis		
Sphinx dollii	Sphinx	Sphingini	Sphinginae	Sphingidae	Bombycoidea	936127	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143812-Sphinx-dollii		
Sphinx kalmiae	Sphinx	Sphingini	Sphinginae	Sphingidae	Bombycoidea	188622	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/117452-Sphinx-kalmiae		
Sphinx poecila	Sphinx	Sphingini	Sphinginae	Sphingidae	Bombycoidea	936133	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/231396-Sphinx-poecila		
Oreta rosea	Oreta	Oretini	Drepaninae	Drepanidae	Drepanoidea	189061	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/121534-Oreta-rosea		
Alsophila pometaria	Alsophila	Alsophilini	Ennominae	Geometridae	Geometroidea	117558	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/215208-Alsophila-pometaria		
Biston betularia	Biston	Bistonini	Ennominae	Geometridae	Geometroidea	117560	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143517-Biston-betularia		
Campaea perlata	Campaea	Campaeini	Ennominae	Geometridae	Geometroidea	189289	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/81681-Campaea-perlata		
Digrammia continuata	Digrammia	Macariini	Ennominae	Geometridae	Geometroidea	941795	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/218436-Digrammia-continuata		
Digrammia ocellinata	Digrammia	Macariini	Ennominae	Geometridae	Geometroidea	941818	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/218446-Digrammia-ocellinata		
Epimecis hortaria	Epimecis	Boarmiini	Ennominae	Geometridae	Geometroidea	941888	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/83090-Epimecis-hortaria		
Episemasia cervinaria	Episemasia	Caberini	Ennominae	Geometridae	Geometroidea	941897	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/372573-Episemasia-cervinaria		
Erannis tiliaria	Erannis	Erannini	Ennominae	Geometridae	Geometroidea	117568	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/219382-Erannis-tiliaria		
Lycia ypsilon	Lycia	Bistonini	Ennominae	Geometridae	Geometroidea	942362	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/205180-Lycia-ypsilon		
Lytrosis unitaria	Lytrosis	Angeronini	Ennominae	Geometridae	Geometroidea	942366	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/224243-Lytrosis-unitaria		
Nematocampa resistaria	Nematocampa	NA	Ennominae	Geometridae	Geometroidea	942435	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/81656-Nematocampa-resistaria		
Patalene olyzonaria	Patalene	Nephodiini	Ennominae	Geometridae	Geometroidea	942525	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/227307-Patalene-olyzonaria		
Phaeoura quernaria	Phaeoura	Nacophorini	Ennominae	Geometridae	Geometroidea	942563	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/130003-Phaeoura-quernaria		
Phigalia strigataria	Phigalia	Bistonini	Ennominae	Geometridae	Geometroidea	942571	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/227741-Phigalia-strigataria		
Phigalia titea	Phigalia	Bistonini	Ennominae	Geometridae	Geometroidea	942572	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/209713-Phigalia-titea		
Protoboarmia porcelaria	Protoboarmia	Boarmiini	Ennominae	Geometridae	Geometroidea	189273	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143867-Protoboarmia-porcelaria		
Nemoria bistriaria	Nemoria	Nemoriini	Geometrinae	Geometridae	Geometroidea	942442	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/203831-Nemoria-bistriaria		
Synchlora aerata	Synchlora	Synchlorini	Geometrinae	Geometridae	Geometroidea	942878	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/126204-Synchlora-aerata		
Eulithis diversilineata	Eulithis	Cidariini	Larentiinae	Geometridae	Geometroidea	117570	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143101-Eulithis-diversilineata		
Eupithecia miserulata	Eupithecia	Eupitheciini	Larentiinae	Geometridae	Geometroidea	942026	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143734-Eupithecia-miserulata		
Operophtera brumata	Operophtera	Operophterini	Larentiinae	Geometridae	Geometroidea	117589	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/60780-Operophtera-brumata		
Calledapteryx dryopterata	Calledapteryx	NA	Epipleminae	Uraniidae	Geometroidea	941711	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143476-Calledapteryx-dryopterata		
Epargyreus clarus	Epargyreus	NA	Eudaminae	Hesperiidae	Hesperioidea	117282	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/81559-Epargyreus-clarus		
Phocides polybius lilea	Phocides	NA	Eudaminae	Hesperiidae	Hesperioidea	707430	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/312269-Phocides-polybius-lilea		
Lerema accius	Lerema	Moncini	Hesperiinae	Hesperiidae	Hesperioidea	706680	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/142988-Lerema-accius		
Paraclemensia acerifoliella	Paraclemensia	NA	NA	Incurvariidae	Incurvarioidea	118822	N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/176089-Paraclemensia-acerifoliella		
Malacosoma disstria	Malacosoma	Lasiocampini	Lasiocampinae	Lasiocampidae	Lasiocampoidea	117544	Y	N	N	Y		N	Y	Y	https://www.inaturalist.org/taxa/81663-Malacosoma-disstria		
Phyllodesma americana	Phyllodesma	Gastropachini	Lasiocampinae	Lasiocampidae	Lasiocampoidea	117550	Y	N	N	N		N	Y	Y	https://www.inaturalist.org/taxa/201281-Phyllodesma-americana		
Acharia stimulea	Acharia	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/122228-Acharia-stimulea		
Acronicta insularis	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	NA	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/624408-Acronicta-insularis		
Acronyctodes mexicanaria	Acronyctodes	Nephodiini	Ennominae	Geometridae	Geometroidea	NA	N	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/446721-Acronyctodes-mexicanaria		
Anisota fuscosa	Anisota	NA	Ceratocampinae	Saturniidae	Bombycoidea	NA	N	Y	N	N		N	N	Y	https://www.inaturalist.org/taxa/508780-Anisota-fuscosa	check with Allen about spiny	
Apantesis virgo	Apantesis	Arctiini	Arctiinae	Erebidae	Noctuoidea	NA	Y	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/606580-Apantesis-virgo		
Apatelodes torrefacta	Apatelodes	NA	Apatelodinae	Apatelodidae	Bombycoidea	NA	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/48262-Apatelodes-torrefacta		
Apoda biguttata	Apoda	NA	NA	Limacodidae	Zygaenoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/214013-Apoda-biguttata		
Arogalea cristifasciella	Arogalea	Litini	Gelechiinae	Gelechiidae	Gelechioidea	NA	N	N	Y	N		Y	N	N	https://www.inaturalist.org/taxa/214195-Arogalea-cristifasciella		
Arsenura armida	Arsenura	NA	Arsenurinae	Saturniidae	Bombycoidea	NA	N	N	N	N	Y	Y	Y	Y	https://www.inaturalist.org/taxa/257159-Arsenura-armida		
Atteva aurea	Atteva	NA	NA	Attevidae	Yponomeutoidea	NA	Y	N	N	Y		N	Y	Y	https://www.inaturalist.org/taxa/116681-Atteva-aurea	may need to revisit this species to determine social column	
Automeris banus	Automeris	Hemileucini	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/256348-Automeris-banus		
Automeris metzli	Automeris	Hemileucini	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/257193-Automeris-metzli		
Caligo	Caligo		NA	NA	NA	NA											
Choristoneura houstonana	Choristoneura	Archipini	Tortricinae	Tortricidae	Tortricoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/559931-Choristoneura-houstonana		
Chrysoesthia sexguttella	Chrysoesthia	Apatetrini	Apatetrinae	Gelechiidae	Gelechioidea	NA	N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/216840-Chrysoesthia-sexguttella/browse_photos	Leaf mine rather than a true leaf roll	
Comadia redtenbacheri	Comadia	NA	Cossinae	Cossidae	Cossoidea	NA	N	N	N	N	N	N	N	N	https://www.inaturalist.org/taxa/334247-Comadia-redtenbacheri	"possibly social, hard to tell and not many observations "	
Copaxa multifenestrata	Copaxa	Saturniini	Saturniinae	Saturniidae	Bombycoidea	NA	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/257260-Copaxa-multifenestrata	"Need to verify that this is considered hairy, could be a point of reference"	
Dahlica triquetrella	Dahlica	NA	Naryciinae	Psychidae	Tineoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/218117-Dahlica-triquetrella		
Depressaria radiella	Depressaria	NA	Depressaiinae	Depressariidae	Gelechioidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/493492-Depressaria-radiella	Has hairs but only a few rows down length of body	
Desmia s	Desmia		NA	NA	NA	NA											
Diaethria bacchis	Diaethria	Callicorini	Biblidinae	Nymphalidae	Papilionoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/336930-Diaethria-bacchis		
Epipaschia superatalis	Epipaschia	NA	Epipaschiinae	Pyralidae	Pyraloidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/219354-Epipaschia-superatalis		
Eumaeus childrenae	Eumaeus	Eumaeini	Theclinae	Lycaenidae	Papilionoidea	NA	N	N	N	N		Y	Y	Y	https://www.inaturalist.org/taxa/123312-Eumaeus-childrenae	"Very fine hairs, check this classification.  Also they gather in groups but it's not evident that they work together…is this still considered social"	
Evergestis rimosalis	Evergestis	NA	Glaphyriinae	Crambidae	Pyraloidea	NA	Y	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/359686-Evergestis-rimosalis	"A couple considerations here: are the structures hairs or spines, by count they appear to be spines, but they curve and appear structurally like hairs.  Are there enough to deter a bird"	
Harrisina americana	Harrisina	Procridini	Procridinae	Zygaenidae	Zygaenoidea	NA	Y	Y	N	N	Y	Y	N	Y	https://www.inaturalist.org/taxa/126905-Harrisina-americana	"Listed as spiny needs verification, based on body coverage and structure"	https://link.springer.com/content/pdf/10.1007%2FBF00384324.pdf
Hellinsia	Hellinsia		NA	NA	NA	NA											
Hemileuca peigleri	Hemileuca	Hemileucini	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N		Y	N	Y	https://www.inaturalist.org/taxa/424934-Hemileuca-peigleri		
Herpetogramma	Herpetogramma		NA	NA	NA	NA											
Homoeosoma electella	Homoeosoma	Phycitini	Phycitinae	Pyralidae	Pyraloidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/343382-Homoeosoma-electella	"Said they were spiny but sturctures are very minute, possibly shouldn't be listed as hairy or spiny"	
Isa textula	Isa	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/154469-Isa-textula		
Leucanella hosmera	Leucanella	NA	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/371748-Leucanella-hosmera	"Images of them in groups but also lots of singular images so leaning towards no for ""social"".  Also they look awesome "	
Leucanella saturata	Leucanella	NA	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/257236-Leucanella-saturata	Also put no for social.  See above for reasoning 	
Leucanella viridescens	Leucanella	NA	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/83650-Leucanella-viridescens		
Lithacodes fasciola	Lithacodes	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/201343-Lithacodes-fasciola		
Lophocampa catenulata	Lophocampa	Arctiini	Arctiinae	Erebidae	Noctuoidea	NA	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/256971-Lophocampa-catenulata		
Malacosoma americana	Malacosoma	Lasiocampinae	Lasiocampinae	NA	NA	NA	Y	N	N	Y		N	Y	Y	https://www.inaturalist.org/taxa/211100-Malacosoma-americana		
Megalopyge crispata	Megalopyge	NA	NA	Megalopygidae	Zygaenoidea	NA	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/703873-Megalopyge-crispata		
Megalopyge lanata	Megalopyge	NA	NA	Megalopygidae	Zygaenoidea	NA	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/507472-Megalopyge-lanata		
Megalopyge opercularis	Megalopyge	NA	NA	Megalopygidae	Zygaenoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/84185-Megalopyge-opercularis		
Melittia cucurbitae	Melittia	Melittiini	Sesiinae	Sesiidae	Sesioidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/133346-Melittia-cucurbitae		
Morpho helenor	Morpho	Morphini	Satyrinae	Nymphalidae	Papilionoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/81741-Morpho-helenor	good example of something that is not consider aposematic despite vibrant pattern because it blends in reasonably well and doesn't have a simple and distinct pattern	
Natada nasoni	Natada	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/225460-Natada-nasoni	Has some red but wouldn't consider it aposematic	
Norape ovina	Norape	NA	NA	Megalopygidae	Zygaenoidea	NA	Y	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/225994-Norape-ovina		
Norape virgo	Norape	NA	NA	Megalopygidae	Zygaenoidea	NA	Y	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/318974-Norape-virgo		
Oiketicus abbotii	Oiketicus	NA	Oiketicinae	Psychidae	Tineoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/358315-Oiketicus-abbotii		
Olceclostera angelica	Olceclostera	NA	Apatelodinae	Apatelodidae	Bombycoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/83860-Olceclostera-angelica		
Olethreutes exoletum	Olethreutes	Olethreutini	Olethreutinae	Tortricidae	Tortricoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/320609-Olethreutes-exoletum	very small spines	
Omphalocera munroei	Omphalocera	Megarthridiini	Galleriinae	Pyralidae	Pyraloidea	NA	Y	N	Y	N		N	N	Y	https://www.inaturalist.org/taxa/325973-Omphalocera-munroei		
Opsiphanes cassina	Opsiphanes	Brassolini	Satyrinae	Nymphalidae	Papilionoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/148693-Opsiphanes-cassina		
Oreana unicolorella	Oreana	Phycitini	Phycitinae	Pyralidae	Pyraloidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/176496-Oreana-unicolorella		
Packardia elegans	Packardia	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/226847-Packardia-elegans		
Papilio rumiko	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/509627-Papilio-rumiko		
Paradirphia fumosa	Paradirphia	NA	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N		N	N	Y	https://www.inaturalist.org/taxa/257240-Paradirphia-fumosa		
Parasa wellesca	Parasa	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/525614-Parasa-wellesca		
Plodia interpunctella	Plodia	Phycitini	Phycitinae	Pyralidae	Pyraloidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/124184-Plodia-interpunctella		
Prolimacodes badia	Prolimacodes	NA	NA	Limacodidae	Zygaenoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/207603-Prolimacodes-badia		
Pryeria sinica	Pryeria	NA	NA	Phaudidae	Zygaenoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/84168-Pryeria-sinica		
Pseudothyatira cymatophoroides	Pseudothyatira	Habrosynini	Thyatirinae	Drepanidae	Drepanoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/204699-Pseudothyatira-cymatophoroides		
Psilocorsis reflexella	Psilocorsis	NA	NA	Depressariidae	Gelechioidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/147992-Psilocorsis-reflexella		
Psyche casta	Psyche	NA	Psychinae	Psychidae	Tineoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/61413-Psyche-casta	Bag worms?	
Rectiostoma xanthobasis	Rectiostoma	NA	Stenomatinae	Depressariidae	Gelechioidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/325666-Rectiostoma-xanthobasis		
Saucrobotys futilalis	Saucrobotys	NA	Pyraustinae	Crambidae	Pyraloidea	NA	N	N	N	Y		N	Y	Y	https://www.inaturalist.org/taxa/146889-Saucrobotys-futilalis		
Schizura ipomaeae	Schizura	NA	Heterocampinae	Notodontidae	Noctuoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/204014-Schizura-ipomaeae		
