"species","year","county_name","HM_mean","HM_sd"
"Setophaga_americana",2017,"MID",111.225333333333,0.758122553081439
"Setophaga_americana",2017,"GA",87.2586666666667,2.81017032247205
"Setophaga_americana",2018,"MA",124.523,0.499553985799576
"Setophaga_americana",2018,"MID",114.010333333333,0.853894763799832
"Setophaga_americana",2018,"GA",95.4643333333333,1.96604925475252
"Setophaga_magnolia",2008,"MA",128.069666666667,1.09843012452699
"Setophaga_magnolia",2009,"MA",126.296,0.992326678776939
"Setophaga_magnolia",2010,"MA",128.247333333333,0.761371208803402
"Setophaga_magnolia",2011,"MA",129.356,0.691922624989956
"Setophaga_magnolia",2012,"MA",128.243,0.65632404629973
"Setophaga_magnolia",2013,"MA",130.928666666667,0.540069854159021
"Setophaga_magnolia",2014,"MA",128.683333333333,0.477980171035916
"Setophaga_magnolia",2014,"MID",123.060333333333,1.26907974927723
"Setophaga_magnolia",2015,"MA",128.188333333333,0.465047644863283
"Setophaga_magnolia",2016,"MA",131.708,0.464910077821672
"Setophaga_magnolia",2016,"MID",126.402333333333,0.966146487461382
"Setophaga_magnolia",2017,"MA",131.110666666667,0.594870444582265
"Setophaga_magnolia",2017,"MID",125.720666666667,1.1729300109096
"Setophaga_magnolia",2018,"MA",128.987,0.232771119624787
"Setophaga_magnolia",2018,"MID",125.804,0.886479525228615
"Setophaga_ruticilla",2004,"MA",126.258,3.90595974213369
"Setophaga_ruticilla",2005,"MA",129.747666666667,1.62815176860638
"Setophaga_ruticilla",2007,"MA",129.523,2.10276283426806
"Setophaga_ruticilla",2008,"MA",130.684333333333,1.06883208358307
"Setophaga_ruticilla",2008,"GA",114.303333333333,3.93977531068991
"Setophaga_ruticilla",2009,"MA",129.488666666667,0.872233810107925
"Setophaga_ruticilla",2009,"MID",124,1.9986657770363
"Setophaga_ruticilla",2009,"GA",115.560333333333,2.8005310592148
"Setophaga_ruticilla",2010,"MA",125.544,0.918519765448648
"Setophaga_ruticilla",2010,"MID",119.308333333333,1.63996759728018
"Setophaga_ruticilla",2010,"GA",115.223333333333,1.66344358798619
"Setophaga_ruticilla",2011,"MA",129.855,0.602297756536729
"Setophaga_ruticilla",2011,"MID",119.525666666667,2.03569543584612
"Setophaga_ruticilla",2011,"GA",113.987333333333,3.16446585860536
"Setophaga_ruticilla",2012,"MA",130.194666666667,0.539940182510173
"Setophaga_ruticilla",2012,"MID",116.930666666667,1.50486359083846
"Setophaga_ruticilla",2012,"GA",111.914,4.88015122292874
"Setophaga_ruticilla",2013,"MA",130.647333333333,0.526357203988843
"Setophaga_ruticilla",2013,"MID",121.897666666667,1.43220516201332
"Setophaga_ruticilla",2013,"GA",109.005333333333,2.01444555296261
"Setophaga_ruticilla",2014,"MA",129.853333333333,0.41054241020762
"Setophaga_ruticilla",2014,"MID",118.178333333333,1.12618233475132
"Setophaga_ruticilla",2014,"GA",113.370333333333,1.65431722392694
"Setophaga_ruticilla",2015,"MA",129.648333333333,0.502076935643656
"Setophaga_ruticilla",2015,"MID",121.093333333333,1.61951530779004
"Setophaga_ruticilla",2015,"GA",109.027666666667,3.21926841356776
"Setophaga_ruticilla",2016,"MA",132.577,0.49411778365896
"Setophaga_ruticilla",2016,"MID",122.498333333333,0.729959932272402
"Setophaga_ruticilla",2016,"GA",111.285,1.49326876924609
"Setophaga_ruticilla",2017,"MA",127.677,0.539229007603338
"Setophaga_ruticilla",2017,"MID",119.763,0.802732288110712
"Setophaga_ruticilla",2017,"GA",110.529666666667,2.30945110586022
"Setophaga_ruticilla",2018,"MA",129.6,0.489979618632815
"Setophaga_ruticilla",2018,"MID",123.192333333333,0.743544781325353
"Setophaga_ruticilla",2018,"GA",103.199666666667,1.9793363735645
"Vireo_olivaceus",2003,"MID",118.442333333333,5.20009822625911
"Vireo_olivaceus",2003,"GA",106.216666666667,8.86016683859234
"Vireo_olivaceus",2004,"MA",138.698666666667,3.77057961668638
"Vireo_olivaceus",2004,"MID",113.085666666667,3.47222503175019
"Vireo_olivaceus",2004,"GA",118.594666666667,4.62372481511867
"Vireo_olivaceus",2005,"MA",136.715666666667,5.22033573543111
"Vireo_olivaceus",2005,"MID",122.813666666667,2.57549172161193
"Vireo_olivaceus",2006,"MA",139.096,2.6186007121928
"Vireo_olivaceus",2006,"MID",119.889666666667,4.17971090108249
"Vireo_olivaceus",2006,"GA",115.800666666667,7.39422011117962
"Vireo_olivaceus",2007,"MA",139.103333333333,3.73835712493515
"Vireo_olivaceus",2007,"MID",120.880333333333,4.13114617006568
"Vireo_olivaceus",2008,"MA",142.27,1.96189950895242
"Vireo_olivaceus",2008,"MID",120.692666666667,1.1952778415896
"Vireo_olivaceus",2008,"GA",103.464333333333,3.36816112916522
"Vireo_olivaceus",2009,"MA",136.801333333333,1.45759153397498
"Vireo_olivaceus",2009,"MID",117.364,0.959067569848189
"Vireo_olivaceus",2009,"GA",100.172666666667,4.30073850318522
"Vireo_olivaceus",2010,"MA",130.806,1.3442344743784
"Vireo_olivaceus",2010,"MID",119.996,0.962441044560523
"Vireo_olivaceus",2010,"GA",107.465333333333,1.68653877114178
"Vireo_olivaceus",2011,"MA",134.282666666667,1.02978300622131
"Vireo_olivaceus",2011,"MID",115.948333333333,1.15330276075924
"Vireo_olivaceus",2011,"GA",98.8586666666667,2.07528162430121
"Vireo_olivaceus",2012,"MA",134.280666666667,0.752826986573139
"Vireo_olivaceus",2012,"MID",118.392666666667,0.981903389839286
"Vireo_olivaceus",2012,"GA",97.966,2.23528734241657
"Vireo_olivaceus",2013,"MA",134.875666666667,1.03339111083439
"Vireo_olivaceus",2013,"MID",118.809,0.88813395797543
"Vireo_olivaceus",2013,"GA",103.445666666667,1.3459761412496
"Vireo_olivaceus",2014,"MA",132.595666666667,0.556433070077658
"Vireo_olivaceus",2014,"MID",121.552,0.678318537767884
"Vireo_olivaceus",2014,"GA",99.9906666666667,1.28936691619198
"Vireo_olivaceus",2015,"MA",131.576666666667,0.531867636995631
"Vireo_olivaceus",2015,"MID",118.921666666667,0.787233850009273
"Vireo_olivaceus",2015,"GA",103.406333333333,1.55092284660271
"Vireo_olivaceus",2016,"MA",138.042,0.410234198191458
"Vireo_olivaceus",2016,"MID",119.149,0.696869817479686
"Vireo_olivaceus",2016,"GA",102.201,1.37715813235342
"Vireo_olivaceus",2017,"MA",132.801333333333,0.499280798743773
"Vireo_olivaceus",2017,"MID",118.326333333333,0.616414263627708
"Vireo_olivaceus",2017,"GA",108.865,2.90555601424535
"Vireo_olivaceus",2018,"MA",132.442,0.519030311402637
"Vireo_olivaceus",2018,"MID",123.292333333333,0.533825388497047
"Vireo_olivaceus",2018,"GA",102.693333333333,1.58538955535739
