"user.login","Agaricomycetes","Amphibia","Arachnida","Aves","Insecta","Liliopsida","Magnoliopsida","Mammalia","Polypodiopsida","Reptilia"
"_____ae",0.00140845070422535,0.0267605633802817,0.0225352112676056,0.233802816901408,0.409859154929577,0.0154929577464789,0.169014084507042,0.0873239436619718,0.00985915492957747,0.00985915492957747
"a-tanguay",0.0144927536231884,0.130434782608696,0.0434782608695652,0.115942028985507,0.449275362318841,0,0,0.0434782608695652,0,0.0579710144927536
"a_calidris",0.00103842159916926,0.0134994807892004,0.0218068535825545,0.0488058151609553,0.167185877466251,0.122533748701973,0.546209761163032,0.00207684319833853,0.0280373831775701,0.0301142263759086
"a_cuell",0.00970873786407767,0,0.0388349514563107,0.262135922330097,0.466019417475728,0.00970873786407767,0.12621359223301,0.058252427184466,0,0
"a_dellas",0,0,0.0104166666666667,0,0.00520833333333333,0.135416666666667,0.833333333333333,0,0.00520833333333333,0
"a_monter",0.0045662100456621,0.0479452054794521,0.0045662100456621,0.470319634703196,0.0547945205479452,0.0342465753424658,0.0844748858447489,0.166666666666667,0.00228310502283105,0.127853881278539
"a_wade",0.0150375939849624,0,0.0075187969924812,0.233082706766917,0.0526315789473684,0.142857142857143,0.473684210526316,0,0,0
"a24",0.000819672131147541,0.00122950819672131,0.00655737704918033,0.0459016393442623,0.935655737704918,0.00040983606557377,0.000819672131147541,0.000819672131147541,0,0.0069672131147541
"aabacks",0.0299065420560748,0.0149532710280374,0.0261682242990654,0.0616822429906542,0.153271028037383,0.0803738317757009,0.328971962616822,0.0242990654205607,0.0485981308411215,0.00560747663551402
"aacocucci",0.0037593984962406,0,0.0075187969924812,0.0037593984962406,0.31203007518797,0.0639097744360902,0.575187969924812,0,0.0037593984962406,0.0225563909774436
"aajdec",0.0187793427230047,0.0234741784037559,0.00469483568075117,0.422535211267606,0.258215962441315,0.0328638497652582,0.145539906103286,0.00938967136150235,0.0234741784037559,0.0516431924882629
"aalbertrebergen",0.00164690382081686,0,0.0072463768115942,0.0197628458498024,0.966403162055336,0,0.000658761528326746,0.00197628458498024,0,0.00131752305665349
"aandroski",0.0185185185185185,0.037037037037037,0,0.0555555555555556,0.166666666666667,0.0555555555555556,0.296296296296296,0.222222222222222,0.0185185185185185,0.111111111111111
"aaohler",0.00532623169107856,0.0106524633821571,0.0372836218375499,0.051930758988016,0.615179760319574,0.0173102529960053,0.209054593874834,0.00266311584553928,0.00266311584553928,0.0386151797603196
"aarft",0.00613496932515337,0,0.00306748466257669,0.0184049079754601,0.00920245398773006,0.0736196319018405,0.849693251533742,0.00920245398773006,0.00613496932515337,0.0122699386503067
"aarmesto",0.0576923076923077,0,0.115384615384615,0.134615384615385,0.442307692307692,0,0.0384615384615385,0.0384615384615385,0,0.0961538461538462
"aaroms",0.021505376344086,0,0,0.150537634408602,0.10752688172043,0.043010752688172,0.451612903225806,0.021505376344086,0.010752688172043,0
