"taxon.name","class"
"Elanus leucurus","Aves"
"Erythrodiplax umbrata","Insecta"
"Trigona spinipes","Insecta"
"Pleurothallis cordata","Liliopsida"
"Patagioenas picazuro","Aves"
"Anhinga anhinga","Aves"
"Acianthera sicaria","Liliopsida"
"Bubulcus ibis","Aves"
"Melucha phyllocnemis","Insecta"
"Larus dominicanus","Aves"
"Haematopus palliatus","Aves"
"Bauhinia variegata","Magnoliopsida"
"Caracara plancus","Aves"
"Enicognathus ferrugineus","Aves"
"Rhea pennata","Aves"
"Milvago chimango","Aves"
"Spheniscus magellanicus","Aves"
"Camponotus atriceps","Insecta"
"Coscoroba coscoroba","Aves"
"Cygnus melancoryphus","Aves"
"Trichonephila clavipes","Arachnida"
"Nycticorax nycticorax","Aves"
"Saimiri boliviensis","Mammalia"
"Chauna torquata","Aves"
"Mimus thenca","Aves"
"Aphrastura spinicauda","Aves"
"Leistes loyca","Aves"
"Zenaida auriculata","Aves"
"Tachycineta leucopyga","Aves"
"Patagona gigas","Aves"
"Zonotrichia capensis","Aves"
"Diuca diuca","Aves"
"Anairetes parulus","Aves"
"Turdus falcklandii","Aves"
"Bothriurus bonariensis","Arachnida"
"Agelaioides badius","Aves"
"Nephilingis cruentata","Arachnida"
"Chrysiptera taupou","Actinopterygii"
"Lobelia anceps","Magnoliopsida"
"Chroicocephalus novaehollandiae","Aves"
"Chenonetta jubata","Aves"
"Argiope keyserlingi","Arachnida"
"Cyligramma disturbans","Insecta"
"Scolypopa australis","Insecta"
"Psammocora obtusangula",NA
"Urtica dioica","Magnoliopsida"
"Stomiopera flava","Aves"
"Schoenus nitens","Liliopsida"
"Corythaixoides personatus","Aves"
"Turdoides sharpei","Aves"
"Hippopotamus amphibius","Mammalia"
"Clamator glandarius","Aves"
"Loxodonta africana","Mammalia"
"Coracina novaehollandiae","Aves"
"Coprosma repens","Magnoliopsida"
"Acherontia atropos","Insecta"
"Sphingomorpha chlorea","Insecta"
"Juncus caespiticius","Liliopsida"
"Aterica rabena","Insecta"
"Malurus melanocephalus","Aves"
"Ducula spilorrhoa","Aves"
"Lilium formosanum","Liliopsida"
"Aplonis metallica","Aves"
"Carex pumila","Liliopsida"
"Hypoblemum griseum","Arachnida"
"Bellapiscis medius","Actinopterygii"
"Xylotrupes australicus","Insecta"
"Pandanus spiralis","Liliopsida"
"Derris trifoliata","Magnoliopsida"
"Tecticornia australasica",NA
"Corypha utan","Liliopsida"
"Albidella acanthocarpa",NA
"Melilotus indicus","Magnoliopsida"
"Tringa brevipes","Aves"
"Corynocarpus laevigatus","Magnoliopsida"
"Bellapiscis lesleyae","Actinopterygii"
"Calystegia soldanella","Magnoliopsida"
"Prumnopitys ferruginea","Pinopsida"
"Porela subfasciata","Insecta"
"Machetis aphrobola","Insecta"
"Oenothera lindheimeri","Magnoliopsida"
"Limosa lapponica","Aves"
"Selliera rotundifolia","Magnoliopsida"
"Podocarpus laetus","Pinopsida"
"Numenius phaeopus","Aves"
"Pseudognaphalium luteoalbum","Magnoliopsida"
"Plantago australis","Magnoliopsida"
"Digitalis purpurea","Magnoliopsida"
"Cirsium vulgare","Magnoliopsida"
"Coprosma robusta","Magnoliopsida"
"Coprosma lucida","Magnoliopsida"
"Lycopodium volubile","Lycopodiopsida"
"Coriaria arborea","Magnoliopsida"
"Aristotelia serrata","Magnoliopsida"
"Melicytus ramiflorus","Magnoliopsida"
"Fuchsia excorticata","Magnoliopsida"
"Rubus cissoides","Magnoliopsida"
"Cordyline banksii","Liliopsida"
"Blechnum novae-zelandiae","Polypodiopsida"
"Coprosma dumosa","Magnoliopsida"
"Geopelia placida","Aves"
"Sphecotheres vieilloti","Aves"
"Artamus leucorynchus","Aves"
"Daucus carota","Magnoliopsida"
"Hirundo neoxena","Aves"
"Solanum mauritianum","Magnoliopsida"
"Precis andremiaja","Insecta"
"Streptopelia chinensis","Aves"
"Centropyge bicolor","Actinopterygii"
"Acridotheres tristis","Aves"
"Pseudocheilinus hexataenia","Actinopterygii"
"Pseudojuloides splendens","Actinopterygii"
"Canthigaster janthinoptera","Actinopterygii"
"Cirrhitichthys falco","Actinopterygii"
"Monotaxis grandoculis","Actinopterygii"
"Trapezia rufopunctata","Malacostraca"
"Sufflamen chrysopterum","Actinopterygii"
"Coris dorsomacula","Actinopterygii"
"Balistoides conspicillum","Actinopterygii"
"Amblyeleotris fasciata","Actinopterygii"
"Bryaninops yongei","Actinopterygii"
"Malacanthus brevirostris","Actinopterygii"
"Thalassoma amblycephalum","Actinopterygii"
"Rhinomuraena quaesita","Actinopterygii"
"Taenianotus triacanthus","Actinopterygii"
"Terapon jarbua","Actinopterygii"
"Chrysiptera biocellata","Actinopterygii"
"Stegastes nigricans","Actinopterygii"
"Istigobius ornatus","Actinopterygii"
"Eurystomus orientalis","Aves"
"Speiredonia spectans","Insecta"
"Neochmia temporalis","Aves"
"Chrysolopus spectabilis","Insecta"
"Merops ornatus","Aves"
"Calyptorhynchus funereus","Aves"
"Isopogon anethifolius","Magnoliopsida"
"Meliphaga lewinii","Aves"
"Caustis flexuosa","Liliopsida"
"Ricinocarpos pinifolius","Magnoliopsida"
"Banksia serrata","Magnoliopsida"
"Phylidonyris niger","Aves"
"Caligavis chrysops","Aves"
"Coreopsis lanceolata","Magnoliopsida"
"Lybius torquatus","Aves"
"Amblyospiza albifrons","Aves"
"Columba arquatrix","Aves"
"Turdus smithi","Aves"
"Ploceus velatus","Aves"
"Malacorhynchus membranaceus","Aves"
"Connochaetes taurinus","Mammalia"
"Fraseria caerulescens","Aves"
"Sigaus piliferus","Insecta"
"Porrostoma rufipennis","Insecta"
"Octopus tetricus","Cephalopoda"
"Maoriblatta rufoterminata",NA
"Gymnobathra flavidella","Insecta"
"Promerops cafer","Aves"
"Cisticola fulvicapilla","Aves"
"Cossypha caffra","Aves"
"Cinnyris chalybeus","Aves"
