"user.login","all_obs","shannonH","shannonE"
"aadg",7,1.47507631105469,0.458258221599801
"aadit",1,0,0
"aadtreher",9,0.348832095843032,0.108370783721461
"aadzamko",8,1.32088834314932,0.410357036125619
"aae53",3,0,0
"aaesparza",3,0.636514168294813,0.197744244551862
"aafko",2,0,0
"aaganji88",1,0,0
"aageha",2,0,0
"aagnelly",3,0,0
"aagostogonzalez680",1,0,0
"aagreen59",1,0,0
"aahallam",3,0.636514168294813,0.197744244551862
"aahess",2,0.693147180559945,0.215338279036697
"aahlfield",6,1.242453324894,0.385989827658193
"aahurbines",34,1.86862009011442,0.58051947070401
"aai1505",1,0,0
"aaida",1,0,0
"aajdec",55,1.18131613073331,0.366996490391699
"aakanksha2",3,0,0
"aakeeling",2,0,0
"aakey",1,0,0
"aalandisland",2,0,0
"aalbenda",1,0,0
"aalbertrebergen",2934,0.220739258008328,0.0685765062146708
"aaldous",4,1.03972077083992,0.323007418555045
"aalers",1,0,0
"aalexaescobar",3,1.09861228866811,0.341303097242993
"aalfie",52,1.20177721467688,0.373353083518246
"aalia_ikhan",26,0.515836121102741,0.160253501274428
"aalighieri",3,1.09861228866811,0.341303097242993
"aalilith",13,0.429323021930616,0.133376695868097
"aalimi",1,0,0
"aaliyah_blaylock03",1,0,0
"aaliyahdiaz",1,0,0
"aaliyahm",1,0,0
"aaliyahsaalih",1,0,0
"aaliyahvega28",6,1.32966134885476,0.413082523588558
"aallman",3,0.636514168294813,0.197744244551862
"aally27115",1,0,0
"aalonzo91",2,0.693147180559945,0.215338279036697
"aalt1",5,0,0
"aalvarez3",1,0,0
"aalyhussain",2,0.693147180559945,0.215338279036697
"aamadeus",2,0.693147180559945,0.215338279036697
"aamanda23",1,0,0
"aambos",18,0,0
"aambriz",1,0,0
"aambroz5484",1,0,0
"aamilahchowdhury",2,0.693147180559945,0.215338279036697
"aamills",1,0,0
"aamina-ismail",5,0.500402423538188,0.155458753541286
"aamir_jakati",9,0.848685557726417,0.263658992735816
"aamirah1",1,0,0
"aamiriam",1,0,0
"aamodeo",1,0,0
"aamolin",1,0,0
"aamorgan",1,0,0
"aamouzou1",1,0,0
"aana",1,0,0
"aanaben",1,0,0
