"Site","Date.Set","Time.Set","Date.Collected","Time.Collected","Trap","Frass.mass..mg.","Frass.number","Method","Notes"
"Prairie Ridge","5/18/2015",11:20:00,"5/21/2015",11:35:00,"5E",4.1,7,"Funnel/Paper",NA
"Prairie Ridge","5/18/2015",11:42:00,"5/21/2015",11:23:00,"4E",3.7,6,"Funnel/Paper",NA
"Prairie Ridge","5/18/2015",14:10:00,"5/21/2015",09:12:00,"10E",0.7,7,"Funnel/Paper","Was found slightly crooked"
"Prairie Ridge","5/18/2015",10:50:00,"5/21/2015",12:00:00,"6E",1.1,2,"Funnel/Paper",NA
"Prairie Ridge","5/18/2015",10:20:00,"5/21/2015",13:47:00,"7E",NA,NA,"Funnel/Paper","Wet and unusable"
"Prairie Ridge","5/18/2015",13:30:00,"5/21/2015",10:10:00,"2E",1.7,8,"Funnel/Paper",NA
"Prairie Ridge","5/18/2015",14:10:00,"5/21/2015",09:39:00,"9E",7.7,16,"Funnel/Paper",NA
"Prairie Ridge","5/18/2015",11:54:00,"5/21/2015",10:46:00,"3E",21.3,51,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",11:40:00,"5/22/2015",10:26:00,"5A",0.2,1,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",13:35:00,"5/22/2015",11:40:00,"8B",0.1,1,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",11:00:00,"5/22/2015",10:00:00,"4E",1.5,3,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",13:00:00,"5/22/2015",10:56:00,"6D",0,0,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",11:00:00,"5/22/2015",09:55:00,"4D",0.2,2,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",10:08:00,"5/22/2015",09:12:00,"2C",1.4,6,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",13:15:00,"5/22/2015",11:15:00,"7E",0.1,1,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",13:00:00,"5/22/2015",10:45:00,"6C",0.1,2,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",11:40:00,"5/22/2015",10:36:00,"5D",0.7,1,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",13:35:00,"5/22/2015",11:31:00,"8D",29.5,6,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",13:15:00,"5/22/2015",11:23:00,"7E",0.6,3,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",09:38:00,"5/22/2015",08:55:00,"1B",10.1,24,"Funnel/Paper",NA
"Botanical Garden","5/19/2015",09:38:00,"5/22/2015",08:50:00,"1C",2.8,12,"Funnel/Paper","was found slightly tilted, likely from storm"
